Timestamp [h],BATT_002_OCV_V_50-SOC,BATT_002_OCV_V_60-SOC,BATT_002_OCV_V_100-SOC
5.08333333333333,3.303,3.306,3.37
5.1,3.303,3.306,3.37
5.11666666666667,3.303,3.306,3.37
5.13333333333333,3.303,3.306,3.37
5.15,3.302,3.306,3.37
5.16666666666667,3.303,3.306,3.37
5.18333333333333,3.303,3.306,3.37
5.2,3.303,3.306,3.37
5.21666666666667,3.303,3.306,3.37
5.23333333333333,3.303,3.306,3.37
5.25,3.303,3.306,3.37
5.26666666666667,3.303,3.306,3.37
5.28333333333333,3.303,3.306,3.36935
5.3,3.303,3.306,3.369666
5.31666666666667,3.303,3.306,3.369
5.33333333333333,3.303,3.306,3.369312
5.35,3.303,3.306,3.3697
5.36666666666667,3.303,3.306,3.37
5.38333333333333,3.303,3.306,3.369
5.4,3.303,3.306,3.369255
5.41666666666667,3.303,3.306,3.369
5.43333333333333,3.303,3.306,3.369
5.45,3.303,3.306,3.369
5.46666666666667,3.303,3.306,3.369
5.48333333333333,3.302,3.306,3.369
5.5,3.303,3.306,3.369
5.51666666666667,3.303,3.306,3.369
5.53333333333333,3.303,3.306,3.369
5.55,3.303,3.306,3.369
5.56666666666667,3.302,3.306,3.368134
5.58333333333333,3.303,3.306,3.369
5.6,3.303,3.306,3.368897
5.61666666666667,3.302,3.306,3.369
5.63333333333333,3.302,3.306,3.368928
5.65,3.303,3.306,3.368057
5.66666666666667,3.303,3.306,3.36895
5.68333333333333,3.303,3.306,3.368959
5.7,3.303,3.306,3.368
5.71666666666667,3.303,3.306,3.368011
5.73333333333333,3.303,3.306,3.368998
5.75,3.303,3.306,3.368012
5.76666666666667,3.302,3.306,3.368
5.78333333333333,3.303,3.306,3.368
5.8,3.303,3.306,3.368
5.81666666666667,3.303,3.306,3.368
5.83333333333333,3.303,3.306,3.368
5.85,3.302,3.306,3.368
5.86666666666667,3.303,3.306,3.368
5.88333333333333,3.302,3.306,3.368
5.9,3.303,3.306,3.368
5.91666666666667,3.303,3.306,3.368
5.93333333333333,3.302,3.306,3.367163
5.95,3.303,3.306,3.367823
5.96666666666667,3.303,3.306,3.367194
5.98333333333333,3.303,3.306,3.368
6,3.303,3.306,3.367
6.01666666666667,3.303,3.306,3.367761
6.03333333333333,3.303,3.306,3.368
6.05,3.303,3.306,3.368
6.06666666666667,3.302,3.306,3.367
6.08333333333333,3.302,3.306,3.367
6.1,3.303,3.306,3.367
6.11666666666667,3.303,3.306,3.367
6.13333333333333,3.302,3.306,3.367
6.15,3.303,3.306,3.367
6.16666666666667,3.302,3.306,3.367
6.18333333333333,3.302,3.306,3.367
6.2,3.303,3.306,3.367
6.21666666666667,3.303,3.306,3.367
6.23333333333333,3.302,3.306,3.367
6.25,3.302,3.306,3.367
6.26666666666667,3.302,3.306,3.367
6.28333333333333,3.303,3.306,3.367
6.3,3.303,3.306,3.367
6.31666666666667,3.303,3.305,3.367
6.33333333333333,3.303,3.306,3.367
6.35,3.303,3.306,3.367
6.36666666666667,3.302,3.306,3.367
6.38333333333333,3.302,3.306,3.366553
6.4,3.303,3.306,3.367
6.41666666666667,3.302,3.306,3.367
