Timestamp [h],BATT_002_OCV_V_00-SOC,BATT_002_OCV_V_50-SOC,BATT_002_OCV_V_60-SOC
9.7,2.966,3.294,3.295
9.71666666666667,2.966,3.294,3.295
9.73333333333333,2.966,3.293,3.295
9.75,2.966,3.293,3.295
9.76666666666667,2.966,3.293,3.295
9.78333333333333,2.966,3.293,3.295
9.8,2.966,3.293,3.295
9.81666666666667,2.966,3.293,3.295
9.83333333333333,2.966,3.293,3.295
9.85,2.966,3.294,3.295
9.86666666666667,2.966299,3.293,3.295
9.88333333333333,2.966,3.294,3.295
9.9,2.966735,3.293,3.295
9.91666666666667,2.967,3.293,3.295
9.93333333333333,2.967,3.294,3.295
9.95,2.967,3.294,3.295
9.96666666666667,2.967,3.294,3.295
9.98333333333333,2.966828,3.293,3.295
10,2.966151,3.294,3.295
10.0166666666667,2.967,3.294,3.295
10.0333333333333,2.967,3.293,3.295
10.05,2.967,3.293,3.295
10.0666666666667,2.967,3.293,3.295
10.0833333333333,2.967,3.294,3.295
10.1,2.967,3.294,3.295
10.1166666666667,2.967,3.294,3.295
10.1333333333333,2.967,3.293,3.295
10.15,2.967,3.294,3.295
10.1666666666667,2.967,3.294,3.295
10.1833333333333,2.967,3.294,3.295
10.2,2.967,3.293,3.295
10.2166666666667,2.967108,3.293,3.295
10.2333333333333,2.967125,3.294,3.295
10.25,2.967145,3.293,3.295
10.2666666666667,2.968,3.294,3.295
10.2833333333333,2.968,3.294,3.295
10.3,2.968,3.294,3.295
10.3166666666667,2.968,3.294,3.295
10.3333333333333,2.968,3.294,3.295
10.35,2.968,3.294,3.295
10.3666666666667,2.968,3.293,3.295
10.3833333333333,2.968,3.294,3.295
10.4,2.968,3.294,3.295
10.4166666666667,2.968,3.294,3.295
10.4333333333333,2.968,3.294,3.295
10.45,2.968,3.294,3.295
10.4666666666667,2.968,3.294,3.294
10.4833333333333,2.968,3.293,3.295
10.5,2.968,3.294,3.295
10.5166666666667,2.968573,3.293,3.295
10.5333333333333,2.968,3.294,3.295
10.55,2.968467,3.293,3.295
10.5666666666667,2.968512,3.293,3.295
10.5833333333333,2.968488,3.293,3.295
10.6,2.968527,3.294,3.295
10.6166666666667,2.969,3.293,3.295
10.6333333333333,2.968431,3.294,3.295
10.65,2.969,3.294,3.295
10.6666666666667,2.969,3.294,3.295
10.6833333333333,2.969,3.293,3.295
10.7,2.969,3.294,3.295
10.7166666666667,2.969,3.293,3.295
10.7333333333333,2.969,3.294,3.295
10.75,2.969,3.293,3.295
10.7666666666667,2.969,3.294,3.295
10.7833333333333,2.969,3.294,3.295
10.8,2.969,3.294,3.295
10.8166666666667,2.969,3.293,3.295
10.8333333333333,2.969183,3.293,3.295
10.85,2.969,3.294,3.295
10.8666666666667,2.969,3.294,3.295
10.8833333333333,2.969117,3.294,3.295
10.9,2.969906,3.294,3.295
10.9166666666667,2.969926,3.294,3.295
10.9333333333333,2.97,3.293,3.295
10.95,2.969965,3.294,3.295
10.9666666666667,2.97,3.294,3.295
10.9833333333333,2.97,3.294,3.295
11,2.97,3.294,3.295
11.0166666666667,2.97,3.294,3.295
11.0333333333333,2.97,3.294,3.295
11.05,2.97,3.294,3.295
11.0666666666667,2.97,3.294,3.295
11.0833333333333,2.97,3.294,3.295
11.1,2.97,3.293,3.295
11.1166666666667,2.97,3.293,3.295
11.1333333333333,2.97,3.294,3.295
11.15,2.97,3.294,3.295
11.1666666666667,2.97,3.294,3.295
11.1833333333333,2.97,3.294,3.295
11.2,2.97,3.293,3.295
11.2166666666667,2.97,3.293,3.295
11.2333333333333,2.970705,3.294,3.295
11.25,2.97,3.294,3.295
11.2666666666667,2.97,3.293,3.295
11.2833333333333,2.970361,3.294,3.295
11.3,2.970383,3.294,3.295
11.3166666666667,2.971,3.294,3.295
11.3333333333333,2.970578,3.294,3.295
11.35,2.971,3.294,3.295
11.3666666666667,2.971,3.293,3.295
11.3833333333333,2.971,3.294,3.295
11.4,2.971,3.294,3.295
11.4166666666667,2.971,3.294,3.295
11.4333333333333,2.971,3.293,3.295
11.45,2.971,3.294,3.295
11.4666666666667,2.971,3.294,3.295
11.4833333333333,2.971,3.294,3.295
11.5,2.971,3.294,3.295
11.5166666666667,2.971,3.294,3.295
11.5333333333333,2.971,3.294,3.295
11.55,2.971,3.294,3.295
11.5666666666667,2.971683,3.293,3.295
11.5833333333333,2.971,3.294,3.295
11.6,2.971,3.294,3.295
11.6166666666667,2.972,3.294,3.295
11.6333333333333,2.971,3.294,3.295
11.65,2.971774,3.294,3.295
11.6666666666667,2.972,3.294,3.295
11.6833333333333,2.972,3.293,3.295
11.7,2.971833,3.294,3.295
11.7166666666667,2.972,3.294,3.295
11.7333333333333,2.972,3.294,3.295
11.75,2.972,3.294,3.295
11.7666666666667,2.972,3.294,3.295
11.7833333333333,2.972,3.294,3.295
11.8,2.971051,3.294,3.295
11.8166666666667,2.972,3.293,3.295
11.8333333333333,2.972,3.293,3.295
11.85,2.972,3.294,3.295
11.8666666666667,2.972,3.294,3.295
11.8833333333333,2.972,3.294,3.295
11.9,2.972,3.294,3.295
11.9166666666667,2.972,3.294,3.295
11.9333333333333,2.972,3.294,3.295
11.95,2.972,3.293,3.295
11.9666666666667,2.972,3.294,3.295
11.9833333333333,2.972178,3.293,3.295
12,2.973,3.293,3.295
12.0166666666667,2.972217,3.294,3.295
12.0333333333333,2.972765,3.293,3.295
12.05,2.973,3.293,3.295
12.0666666666667,2.972725,3.294,3.295
12.0833333333333,2.972,3.294,3.295
12.1,2.973,3.293,3.295
12.1166666666667,2.973,3.293,3.295
12.1333333333333,2.973,3.293,3.295
12.15,2.973,3.294,3.295
12.1666666666667,2.973,3.293,3.295
12.1833333333333,2.973,3.294,3.295
12.2,2.973,3.294,3.295
12.2166666666667,2.973,3.294,3.295
12.2333333333333,2.973,3.294,3.295
12.25,2.973,3.293,3.295
12.2666666666667,2.973,3.294,3.295
12.2833333333333,2.973,3.294,3.295
12.3,2.973,3.294,3.295
12.3166666666667,2.973,3.294,3.295
12.3333333333333,2.973,3.294,3.295
12.35,2.973,3.293,3.295
12.3666666666667,2.973628,3.294,3.295
12.3833333333333,2.973649,3.294,3.296
12.4,2.974,3.294,3.295
12.4166666666667,2.973688,3.294,3.295
12.4333333333333,2.973707,3.294,3.295
12.45,2.973727,3.293,3.295
12.4666666666667,2.974,3.294,3.295
12.4833333333333,2.974,3.293,3.295
12.5,2.974,3.294,3.295
12.5166666666667,2.974,3.294,3.295
12.5333333333333,2.974,3.294,3.295
12.55,2.974,3.294,3.295
12.5666666666667,2.974,3.294,3.295
12.5833333333333,2.974,3.294,3.295
12.6,2.974,3.294,3.295
12.6166666666667,2.973922,3.294,3.295
12.6333333333333,2.974,3.294,3.295
12.65,2.974,3.294,3.295
12.6666666666667,2.974,3.294,3.295
12.6833333333333,2.974,3.294,3.295
12.7,2.974,3.294,3.295
12.7166666666667,2.974,3.294,3.295
12.7333333333333,2.974,3.294,3.295
12.75,2.974,3.294,3.295
12.7666666666667,2.974,3.294,3.295
12.7833333333333,2.974,3.294,3.295
12.8,2.974,3.294,3.295
12.8166666666667,2.974,3.293,3.295
12.8333333333333,2.974,3.294,3.295
12.85,2.97419,3.294,3.295
12.8666666666667,2.97479,3.294,3.295
12.8833333333333,2.974229,3.293,3.295
12.9,2.974749,3.294,3.295
12.9166666666667,2.974734,3.293,3.295
12.9333333333333,2.975,3.294,3.295
12.95,2.974701,3.293,3.295
12.9666666666667,2.975,3.294,3.295
12.9833333333333,2.975,3.294,3.295
13,2.975,3.294,3.295
13.0166666666667,2.975,3.294,3.295
13.0333333333333,2.975,3.294,3.295
13.05,2.975,3.294,3.295
13.0666666666667,2.975,3.294,3.295
13.0833333333333,2.975,3.294,3.295
13.1,2.975,3.294,3.295
13.1166666666667,2.975,3.294,3.295
13.1333333333333,2.975,3.294,3.295
13.15,2.975,3.294,3.295
13.1666666666667,2.975,3.294,3.295
13.1833333333333,2.975,3.294,3.295
13.2,2.975,3.294,3.295
13.2166666666667,2.975,3.294,3.295
13.2333333333333,2.975,3.294,3.295
13.25,2.975347,3.294,3.295
13.2666666666667,2.975,3.294,3.295
13.2833333333333,2.975,3.294,3.295
13.3,2.975,3.293,3.295
13.3166666666667,2.975,3.294,3.295
13.3333333333333,2.975754,3.294,3.295
13.35,2.976,3.293,3.295
13.3666666666667,2.975208,3.294,3.295
13.3833333333333,2.976,3.293,3.295
13.4,2.976,3.294,3.295
