Timestamp_1 [h],BATT_007_DC1 [V],Timestamp_2 [h],BATT_007_DC2 [V],Timestamp_3 [h],BATT_007_DC3 [V]
0.0163917502777778,3.166,0.0163190936111111,3.3653,0.0163190936111111,3.319
0.0166695147222222,3.166,0.0165973172222222,3.3653,0.0165973172222222,3.319
0.0169472733333333,3.166,0.0168754702777778,3.3653,0.0168754702777778,3.319
0.0172248272222222,3.166,0.0171535005555556,3.3653,0.0171535005555556,3.319
0.0175027580555556,3.166,0.0174314755555556,3.3653,0.0174314755555556,3.319
0.017780935,3.166,0.0177091919444444,3.3653,0.0177091919444444,3.319
0.0180588258333333,3.166,0.0179870805555556,3.3653,0.0179870805555556,3.319
0.0183366575,3.166,0.0182644305555556,3.3653,0.0182644305555556,3.319
0.0186143488888889,3.166,0.018542935,3.3653,0.018542935,3.319
0.0188921472222222,3.166,0.0188204688888889,3.3653,0.0188204688888889,3.319
0.0191699413888889,3.166,0.0190985622222222,3.3653,0.0190985622222222,3.319
0.01944812,3.166,0.0193762736111111,3.3653,0.0193762736111111,3.319
0.0197257619444444,3.166,0.0196539838888889,3.3653,0.0196539838888889,3.319
0.0200035461111111,3.166,0.0199317255555556,3.3653,0.0199317255555556,3.319
0.0202816011111111,3.166,0.0202094225,3.3653,0.0202094225,3.319
0.020559625,3.166,0.0204872302777778,3.3653,0.0204872302777778,3.319
0.0208374555555556,3.166,0.0207650366666667,3.3653,0.0207650366666667,3.319
0.0211153777777778,3.166,0.0210425938888889,3.3653,0.0210425938888889,3.319
0.0213931327777778,3.166,0.0213205786111111,3.3653,0.0213205786111111,3.309
0.0216706066666667,3.166,0.0215990527777778,3.3653,0.0215990527777778,3.319
0.021948365,3.166,0.0218770686111111,3.3653,0.0218770686111111,3.309
